Time R-A_pFluct R-B_pFluct R-C_pFluct R-D_pFluct R-E_pFluct R-F_pFluct 
0.0193825 0.767240012 0.366889906 0.2409249 0.179323553 0.142802329 0.0707460157 
0.019385 0.773719295 0.370120502 0.243077361 0.180937523 0.144093349 0.0713913995 
0.0193875 0.780192917 0.373348483 0.245228123 0.182550235 0.145383368 0.0720362904 
0.01939 0.786660779 0.3765738 0.247377153 0.184161664 0.146672368 0.0726806779 
0.0193925 0.79312279 0.379796406 0.249524418 0.185771783 0.147960328 0.0733245517 
0.019395 0.799578856 0.383016252 0.251669885 0.187380567 0.149247226 0.0739679012 
0.0193975 0.806028889 0.386233292 0.253813521 0.188987992 0.150533043 0.0746107161 
0.0194 0.812472799 0.389447477 0.255955292 0.190594031 0.151817758 0.0752529859 
0.0194025 0.818910498 0.39265876 0.258095165 0.19219866 0.153101352 0.0758947003 
0.019405 0.825341899 0.395867093 0.260233109 0.193801855 0.154383803 0.0765358486 
0.0194075 0.831766916 0.399072428 0.262369088 0.195403587 0.155665089 0.0771764198 
0.01941 0.838185463 0.402274716 0.26450307 0.197003833 0.156945192 0.0778164035 
0.0194125 0.844597452 0.405473911 0.266635021 0.198602567 0.15822409 0.0784557889 
0.019415 0.851002805 0.408669964 0.268764909 0.200199762 0.159501761 0.0790945653 
0.0194175 0.857401433 0.411862828 0.270892697 0.201795392 0.160778185 0.0797327209 
0.01942 0.863793259 0.415052452 0.273018353 0.203389431 0.162053339 0.0803702449 
0.0194225 0.870178193 0.418238789 0.275141842 0.204981852 0.163327202 0.0810071262 
0.019425 0.876556151 0.421421787 0.277263127 0.206572627 0.164599752 0.0816433527 
0.0194275 0.882927051 0.424601398 0.279382174 0.208161729 0.165870966 0.082278914 
0.01943 0.88929081 0.427777572 0.281498948 0.209749132 0.167140822 0.0829137972 
0.0194325 0.895647339 0.430950256 0.283613412 0.211334806 0.168409297 0.083547991 
0.019435 0.901996554 0.434119399 0.285725528 0.212918722 0.169676367 0.084181483 
0.0194375 0.908338368 0.437284949 0.28783526 0.214500853 0.170942009 0.0848142613 
0.01944 0.914672697 0.440446852 0.289942569 0.216081168 0.1722062 0.0854463132 
0.0194425 0.920999453 0.443605055 0.292047418 0.217659638 0.173468914 0.0860776263 
0.019445 0.927318547 0.446759504 0.294149768 0.219236234 0.174730128 0.0867081879 
0.0194475 0.933629893 0.449910144 0.29624958 0.220810924 0.175989816 0.0873379851 
0.01945 0.939933397 0.453056916 0.298346812 0.222383677 0.177247954 0.0879670045 
0.0194525 0.946228971 0.456199768 0.300441425 0.223954463 0.178504515 0.0885952335 
0.019455 0.952516518 0.45933864 0.302533379 0.22552325 0.179759475 0.0892226583 
0.0194575 0.958795951 0.462473473 0.304622632 0.227090005 0.181012807 0.0898492656 
0.01946 0.965067175 0.46560421 0.306709141 0.228654697 0.182264484 0.0904750421 
0.0194625 0.97133009 0.468730791 0.308792866 0.230217292 0.18351448 0.0910999738 
0.019465 0.977584601 0.471853154 0.31087376 0.231777757 0.184762768 0.0917240477 
0.0194675 0.983830611 0.47497124 0.312951783 0.23333606 0.186009323 0.0923472512 
0.01947 0.990068022 0.478084986 0.315026892 0.234892168 0.187254117 0.0929695737 
0.0194725 0.996296732 0.481194331 0.317099042 0.236446049 0.188497128 0.0935910073 
0.019475 1.00251664 0.48429921 0.319168192 0.237997676 0.189738339 0.0942115468 
0.0194775 1.00872764 0.487399562 0.321234303 0.239547032 0.190977738 0.0948311875 
0.01948 1.01492963 0.490495326 0.32329735 0.241094102 0.192215316 0.0954499254 
0.0194825 1.02112251 0.49358644 0.325357316 0.242638876 0.193451065 0.0960677568 
0.019485 1.02730617 0.496672861 0.327414186 0.244181344 0.194684977 0.0966846782 
