# Region type : patch sphere
#      Faces  : 40
#      Area   : 6.276727658e-02
#           Time	areaAverage(p)	areaAverage(U)
         0.00305	1.013306063e+05	(4.048445273e-19 0.000000000e+00 -4.048445273e-19)
        0.003075	1.013304953e+05	(-2.698963515e-19 0.000000000e+00 2.968859867e-19)
          0.0031	1.013303828e+05	(2.429067164e-19 0.000000000e+00 -2.429067164e-19)
        0.003125	1.013302685e+05	(1.079585406e-19 0.000000000e+00 -1.079585406e-19)
         0.00315	1.013301518e+05	(0.000000000e+00 0.000000000e+00 -2.698963515e-20)
        0.003175	1.013300324e+05	(-2.698963515e-19 0.000000000e+00 -1.619378109e-19)
          0.0032	1.013299100e+05	(1.079585406e-19 0.000000000e+00 -1.349481758e-19)
        0.003225	1.013297842e+05	(-8.096890546e-20 0.000000000e+00 3.238756218e-19)
         0.00325	1.013296551e+05	(-2.429067164e-19 0.000000000e+00 7.287201491e-19)
        0.003275	1.013295226e+05	(8.096890546e-20 0.000000000e+00 -8.096890546e-20)
          0.0033	1.013293868e+05	(-1.619378109e-19 0.000000000e+00 1.889274461e-19)
        0.003325	1.013292480e+05	(0.000000000e+00 0.000000000e+00 4.318341624e-19)
         0.00335	1.013291063e+05	(1.889274461e-19 0.000000000e+00 2.698963515e-20)
        0.003375	1.013289619e+05	(-2.968859867e-19 0.000000000e+00 -5.667823382e-19)
          0.0034	1.013288153e+05	(0.000000000e+00 0.000000000e+00 0.000000000e+00)
        0.003425	1.013286665e+05	(1.349481758e-19 0.000000000e+00 2.968859867e-19)
         0.00345	1.013285160e+05	(5.397927031e-20 0.000000000e+00 -5.397927031e-20)
        0.003475	1.013283639e+05	(-2.159170812e-19 0.000000000e+00 2.698963515e-19)
          0.0035	1.013282104e+05	(-8.096890546e-20 0.000000000e+00 -8.096890546e-20)
        0.003525	1.013280557e+05	(-2.698963515e-19 0.000000000e+00 9.176475952e-19)
         0.00355	1.013279001e+05	(2.698963515e-20 0.000000000e+00 0.000000000e+00)
        0.003575	1.013277436e+05	(5.397927031e-20 0.000000000e+00 1.619378109e-19)
          0.0036	1.013275865e+05	(1.889274461e-19 0.000000000e+00 -1.349481758e-19)
        0.003625	1.013274289e+05	(5.397927031e-20 0.000000000e+00 -2.698963515e-20)
         0.00365	1.013272710e+05	(-1.619378109e-19 0.000000000e+00 -2.429067164e-19)
